index,start,end,start_seconds,end_seconds,text_en,text_zh
261,"00:13:11,050","00:13:14,230",791.05,794.23,"外面有什么更精彩的事，
怎么没人来。","外面有什么更精彩的事，
怎么没人来。"
262,"00:13:14,230","00:13:17,055",794.23,797.055,所以你想要个大小合适的场地——,所以你想要个大小合适的场地——
263,"00:13:17,055","00:13:18,430",797.055,798.43,不必挤满人，但,不必挤满人，但
264,"00:13:18,430","00:13:20,950",798.43,800.95,至少过半满。,至少过半满。
265,"00:13:20,950","00:13:24,550",800.95,804.55,以上就是我关于时间地点的想法。,以上就是我关于时间地点的想法。
266,"00:13:24,550","00:13:27,640",804.55,807.64,下面我想聊聊,下面我想聊聊
267,"00:13:27,640","00:13:30,385",807.64,810.385,板书、道具和幻灯片。,板书、道具和幻灯片。
268,"00:13:30,385","00:13:38,230",810.385,818.23,,
269,"00:13:38,230","00:13:41,230",818.23,821.23,这些就是这个行当的工具。,这些就是这个行当的工具。
270,"00:13:41,230","00:13:49,420",821.23,829.42,"我相信这是
做这类演讲的合适工具，","我相信这是
做这类演讲的合适工具，"
271,"00:13:49,420","00:13:52,330",829.42,832.33,当你的目的是传授信息时。,当你的目的是传授信息时。
272,"00:13:52,330","00:13:56,290",832.33,836.29,"幻灯片适合当你的目的
是展示、宣传时，","幻灯片适合当你的目的
是展示、宣传时，"
273,"00:13:56,290","00:14:00,610",836.29,840.61,"但这是我用来传授、
教学、讲座的工具，","但这是我用来传授、
教学、讲座的工具，"
274,"00:14:00,610","00:14:02,440",840.61,842.44,理由有这么几条。,理由有这么几条。
275,"00:14:02,440","00:14:04,480",842.44,844.48,"其一，
用板书的一个好处是","其一，
用板书的一个好处是"
276,"00:14:04,480","00:14:05,605",844.48,845.605,图形化的特质。,图形化的特质。
277,"00:14:05,605","00:14:10,490",845.605,850.49,,
278,"00:14:10,490","00:14:14,440",850.49,854.44,"有了黑板，
你就能","有了黑板，
你就能"
279,"00:14:14,440","00:14:19,990",854.44,859.99,轻松利用图画,轻松利用图画
280,"00:14:19,990","00:14:22,668",859.99,862.668,来辅助你的表达。,来辅助你的表达。
281,"00:14:22,668","00:14:25,210",862.668,865.21,"这是我喜爱的图形化，
第二点","这是我喜爱的图形化，
第二点"
282,"00:14:25,210","00:14:26,755",865.21,866.755,我喜欢的是它的速度。,我喜欢的是它的速度。
283,"00:14:26,755","00:14:30,310",866.755,870.31,,
284,"00:14:30,310","00:14:32,440",870.31,872.44,你在黑板上书写的速度，,你在黑板上书写的速度，
285,"00:14:32,440","00:14:36,220",872.44,876.22,"大致就是人
吸收想法的速度。","大致就是人
吸收想法的速度。"
286,"00:14:36,220","00:14:39,040",876.22,879.04,你若一张接一张翻幻灯，,你若一张接一张翻幻灯，
287,"00:14:39,040","00:14:40,210",879.04,880.21,没人能跟得上。,没人能跟得上。
288,"00:14:40,210","00:14:44,030",880.21,884.03,,
289,"00:14:44,030","00:14:47,260",884.03,887.26,最后，板书的一大优势,最后，板书的一大优势
290,"00:14:47,260","00:14:48,750",887.26,888.75,是它能当靶子。,是它能当靶子。
291,"00:14:48,750","00:14:53,830",888.75,893.83,,
292,"00:14:53,830","00:14:59,200",893.83,899.2,许多演讲新手,许多演讲新手
293,"00:14:59,200","00:15:04,000",899.2,904.0,会突然意识到自己的双手。,会突然意识到自己的双手。
294,"00:15:04,000","00:15:06,370",904.0,906.37,"好像手是隐私部位，
不该","好像手是隐私部位，
不该"
295,"00:15:06,370","00:15:10,820",906.37,910.82,"当众露出来，
于是立刻插进口袋里，","当众露出来，
于是立刻插进口袋里，"
296,"00:15:10,820","00:15:14,290",910.82,914.29,在有些地方这被视为冒犯。,在有些地方这被视为冒犯。
297,"00:15:14,290","00:15:16,120",914.29,916.12,又或者，手,又或者，手
298,"00:15:16,120","00:15:19,690",916.12,919.69,会绕到身后，像这样。,会绕到身后，像这样。
299,"00:15:19,690","00:15:27,820",919.69,927.82,"我有一次在塞尔维亚的修道院，
主人——","我有一次在塞尔维亚的修道院，
主人——"
300,"00:15:27,820","00:15:30,370",927.82,930.37,"我们一进门，
一位修女就走过来","我们一进门，
一位修女就走过来"
301,"00:15:30,370","00:15:32,260",930.37,932.26,and offered us a refreshment.,并给我们送上茶点。
302,"00:15:32,260","00:15:33,980",932.26,933.98,"And I was about to say, no, thank you,",我正要开口谢绝，
303,"00:15:33,980","00:15:38,410",933.98,938.41,"and he said, eat that stuff or die.",他却说：「把那东西吃了，不然你会死。」
304,"00:15:38,410","00:15:42,370",938.41,942.37,It's a question of local custom and politeness.,这就是当地的风俗与礼节。
305,"00:15:42,370","00:15:46,150",942.37,946.15,"But then before anything happened there,",但还没等我们做任何事，
306,"00:15:46,150","00:15:49,360",946.15,949.36,the nun pulled my hands out like this,那位修女就把我的双手
307,"00:15:49,360","00:15:52,330",949.36,952.33,because it was extraordinarily insulting in that culture,从身后拽了出来，因为在那种文化里，
308,"00:15:52,330","00:15:54,880",952.33,954.88,to have your hands behind your back.,把手背在身后是极不礼貌的举动。
309,"00:15:54,880","00:15:56,080",954.88,956.08,So why is that?,为什么会这样呢？
310,"00:15:56,080","00:15:59,210",956.08,959.21,"Well, it's usually supposed that that's",通常认为这
311,"00:15:59,210","00:16:02,170",959.21,962.17,that it has to do with whether you're concealing a weapon.,与是否藏有武器有关。
312,"00:16:02,170","00:16:05,860",962.17,965.86,"So if your hands are in your pockets or behind your back,",所以，如果你把手插进口袋，或者背在身后，
313,"00:16:05,860","00:16:09,810",965.86,969.81,"then it looks like you might have a weapon,",看起来就像你可能藏着一件武器——
314,"00:16:09,810","00:16:12,010",969.81,972.01,and that's what I mean by the virtue--,这就是我所说的黑板的
315,"00:16:12,010","00:16:13,583",972.01,973.583,one of these virtues of the board.,优点之一。
316,"00:16:13,583","00:16:15,500",973.583,975.5,"Now, you have something to do with your hands.",黑板给了你的双手一个去处，
317,"00:16:15,500","00:16:17,050",975.5,977.05,You can point out the stuff.,你可以指着上面的内容。
318,"00:16:17,050","00:16:20,150",977.05,980.15,,
319,"00:16:20,150","00:16:22,310",980.15,982.31,"I was once watching Seymour Papert give a lecture,",我曾观看过西摩·派珀特做讲座，
320,"00:16:22,310","00:16:24,110",982.31,984.11,and I thought it was terrific.,我觉得棒极了。
321,"00:16:24,110","00:16:25,850",984.11,985.85,So I went a second time--,于是我去看了第二次——
322,"00:16:25,850","00:16:28,170",985.85,988.17,"first time to absorb the content, second time",第一次是为了吸收内容，第二次
323,"00:16:28,170","00:16:29,880",988.17,989.88,to note style.,是为了观察风格。
324,"00:16:29,880","00:16:32,090",989.88,992.09,And what I discovered is that Papert was constantly,我发现派珀特一直在
325,"00:16:32,090","00:16:33,568",992.09,993.568,pointing at the board.,指着黑板。
326,"00:16:33,568","00:16:35,360",993.568,995.36,"And then I thought about it a little while,",然后我想了想，
327,"00:16:35,360","00:16:38,638",995.36,998.638,and I noted that none of the stuff he was pointing to,注意到他指着的那些内容，
328,"00:16:38,638","00:16:40,430",998.638,1000.43,had anything to do with what he was saying.,其实都跟他正在说的话没什么关系。
329,"00:16:40,430","00:16:43,190",1000.43,1003.19,,
330,"00:16:43,190","00:16:46,371",1003.19,1006.371,"Nevertheless, it was an effective technique.",然而，这依然是一种有效的技巧。
331,"00:16:46,371","00:16:49,200",1006.371,1009.2,,
332,"00:16:49,200","00:16:52,070",1009.2,1012.07,So that's just a little bit about the virtue,关于黑板的优点
333,"00:16:52,070","00:16:53,260",1012.07,1013.26,of blackboards.,就讲到这里。
334,"00:16:53,260","00:16:56,850",1013.26,1016.85,"Now, I want to talk about props.",现在，我想谈谈道具。
335,"00:16:56,850","00:16:59,820",1016.85,1019.82,The custodians of knowledge about props,关于道具的真正行家
336,"00:16:59,820","00:17:01,890",1019.82,1021.89,are the playwrights.,是剧作家。
337,"00:17:01,890","00:17:05,730",1021.89,1025.73,"Many decades ago, I saw a play by Henrik Ibsen.",许多年前，我看过亨利·易卜生的一出戏。
338,"00:17:05,730","00:17:07,589",1025.73,1027.589,It was Hedda Gabler.,《海达·加布勒》。
339,"00:17:07,589","00:17:11,670",1027.589,1031.67,I remember vaguely that it was about a woman in an unhappy,我依稀记得它讲的是一个婚姻不幸的女人，
340,"00:17:11,670","00:17:16,349",1031.67,1036.349,"marriage, and her husband was in competition for an academic job",她的丈夫与另一个人
341,"00:17:16,349","00:17:17,599",1036.349,1037.599,with somebody else.,竞争一个学术职位。
342,"00:17:17,599","00:17:20,910",1037.599,1040.91,"And he was going to lose partly because he was boring,",他之所以会输，部分原因是他很无聊，
343,"00:17:20,910","00:17:23,220",1040.91,1043.22,and partly because the competitor had just,部分原因是对手刚刚
344,"00:17:23,220","00:17:25,650",1043.22,1045.65,written a magnificent book.,写了一本了不起的书。
345,"00:17:25,650","00:17:27,150",1045.65,1047.15,"By the way, this is back in the days",顺便说一句，那个时代
346,"00:17:27,150","00:17:30,710",1047.15,1050.71,before there were copying machines and computers.,还没有复印机和电脑。
347,"00:17:30,710","00:17:43,590",1050.71,1063.59,"Anyhow, as the play opens, there's a potbellied stove,",总之，剧幕拉开时，舞台上有一座圆肚炉，
348,"00:17:43,590","00:17:47,000",1063.59,1067.0,"and in the beginning of the play,",在戏剧开场时，
349,"00:17:47,000","00:17:50,130",1067.0,1070.13,"the potbelly stove, with its open door,",圆肚炉敞着炉门，
350,"00:17:50,130","00:17:54,330",1070.13,1074.33,just has some slightly glowing embers.,里面只有一些微红的余烬。
351,"00:17:54,330","00:17:57,000",1074.33,1077.0,"But the potbellied stove is always there,",但那座圆肚炉一直都在；
352,"00:17:57,000","00:17:59,640",1077.0,1079.64,"and as tension mounts in the play,",随着戏剧张力的提升，
353,"00:17:59,640","00:18:01,170",1079.64,1081.17,"and you see this manuscript, this",你看着那份手稿——
354,"00:18:01,170","00:18:06,210",1081.17,1086.21,"prop that Ibsen so artfully used, you just know",易卜生如此巧妙地使用的道具——
355,"00:18:06,210","00:18:08,520",1086.21,1088.52,"that something's going to happen,",你就会知道某件事必定要发生，
356,"00:18:08,520","00:18:13,890",1088.52,1093.89,"because as the play goes on, the fire gets bigger and hotter",因为随着剧情推进，炉火越烧越大、越来越旺，
357,"00:18:13,890","00:18:15,750",1093.89,1095.75,"and finally all consuming, and you just",最终吞噬一切，
358,"00:18:15,750","00:18:21,210",1095.75,1101.21,know that that manuscript is going to go into that fire.,你会清楚地预感到那份手稿终将被扔进炉火里。
359,"00:18:21,210","00:18:26,070",1101.21,1106.07,This memorable thing is what I remember about the play.,这段令人难忘的记忆，是我关于这部戏的全部记忆。
360,"00:18:26,070","00:18:29,590",1106.07,1109.59,"So playwrights have got this all figured out,",所以剧作家早就把这一切想透了，
361,"00:18:29,590","00:18:31,860",1109.59,1111.86,"but on the other hand, they're not the only people",但反过来，他们并不是唯一
362,"00:18:31,860","00:18:34,380",1111.86,1114.38,who can use props.,会使用道具的人。
363,"00:18:34,380","00:18:38,010",1114.38,1118.01,"Here's an example of the use of a prop, also",下面是另一个使用道具的例子，
364,"00:18:38,010","00:18:39,750",1118.01,1119.75,due to Seymour Papert.,也来自西摩·派珀特。
365,"00:18:39,750","00:18:42,540",1119.75,1122.54,He was talking about how it's important to look,他正在谈论「用正确的方式看待问题」
366,"00:18:42,540","00:18:45,260",1122.54,1125.26,"at the problem in the right way, and here's",有多重要，下面这个例子
367,"00:18:45,260","00:18:50,015",1125.26,1130.015,"an example that not only teaches that, but makes it possible",不仅能说明这一点，
368,"00:18:50,015","00:18:51,390",1130.015,1131.39,for you to embarrass your friends,还能让你有机会让
369,"00:18:51,390","00:18:53,190",1131.39,1133.19,in mechanical engineering.,学机械工程的朋友尴尬一番。
370,"00:18:53,190","00:18:55,110",1133.19,1135.11,So here's what you do.,事情是这样的：
371,"00:18:55,110","00:18:58,140",1135.11,1138.14,"Take a bicycle wheel, and you start it spinning.",你取一个车轮，让它转起来。
372,"00:18:58,140","00:19:02,010",1138.14,1142.01,"And then you put some torque on the axle,",然后在车轴上施加一个扭矩，
373,"00:19:02,010","00:19:06,240",1142.01,1146.24,"or equivalently, you blow on the edge.",或者换句话说，往轮缘吹一口气。
374,"00:19:06,240","00:19:09,570",1146.24,1149.57,"And the issue is, does it go that way,",问题是，它会往这边转，
375,"00:19:09,570","00:19:12,790",1149.57,1152.79,or does it go that way?,还是往那边转？
376,"00:19:12,790","00:19:16,590",1152.79,1156.59,"Now, the mechanical engineers will immediately say, oh, yes,",现在，机械工程师们会立刻说：
377,"00:19:16,590","00:19:18,250",1156.59,1158.25,I see-- right hand screw wheel.,「啊，我懂了——右手螺旋定则。」
378,"00:19:18,250","00:19:20,970",1158.25,1160.97,"And they'll put their fingers in this position,",他们会把手指摆成这个姿势，
379,"00:19:20,970","00:19:24,090",1160.97,1164.09,but forget exactly how to align their fingers,但总是不能精确地让手指对齐
380,"00:19:24,090","00:19:27,870",1164.09,1167.87,with the various aspects of the problem.,问题的各个部分。
381,"00:19:27,870","00:19:30,420",1167.87,1170.42,And so it's usually the case that they get it right,所以通常情况下，他们的正确率
382,"00:19:30,420","00:19:34,260",1170.42,1174.26,with about a 50% probability.,大约只有 50%。
383,"00:19:34,260","00:19:38,670",1174.26,1178.67,So their very fancy education gets them up,也就是说，他们那些精致的教育
384,"00:19:38,670","00:19:43,060",1178.67,1183.06,to the point where they're equivalent to flipping a coin.,把他们培养到了相当于「抛硬币」的程度。
385,"00:19:43,060","00:19:45,720",1183.06,1185.72,But it doesn't have to be that way,但事情本不必如此，
386,"00:19:45,720","00:19:49,030",1185.72,1189.03,because you can think about the problem a little differently.,因为你可以换一个角度思考这个问题。
387,"00:19:49,030","00:19:50,980",1189.03,1190.98,So here's what you do.,事情是这样的：
388,"00:19:50,980","00:19:54,080",1190.98,1194.08,"You take some duct tape, and you put it",你取一些胶带，把它
389,"00:19:54,080","00:19:57,450",1194.08,1197.45,around the part of the wheel like that.,贴在车轮的某一段上，像这样。
390,"00:19:57,450","00:20:00,250",1197.45,1200.25,"And now, you start to think about, not the whole wheel,",然后，你开始思考的不是整个轮子，
391,"00:20:00,250","00:20:03,920",1200.25,1203.92,but just a little piece that's underneath the duct tape.,而是胶带下面那一小段。
392,"00:20:03,920","00:20:06,720",1203.92,1206.72,"So here, that piece comes rolling over the top,",比如这里，那一小段滚到顶部，
393,"00:20:06,720","00:20:09,455",1206.72,1209.455,"and at this point, you blow on it with a puff of air.",在这一点上，你向它吹一口气。
394,"00:20:09,455","00:20:11,080",1209.455,1211.08,"Forgetting about the rest of the wheel,",忘掉车轮的其他部分，
395,"00:20:11,080","00:20:12,747",1211.08,1212.747,what happens to that little piece that's,那一小段（也就是胶带下面
396,"00:20:12,747","00:20:13,655",1212.747,1213.655,under the duct tape?,那一段）会怎么样？
397,"00:20:13,655","00:20:15,280",1213.655,1215.28,It must want to go that way because you,由于你是这样吹的，
398,"00:20:15,280","00:20:17,040",1215.28,1217.04,banged on it like that.,它必然要往那个方向去。
399,"00:20:17,040","00:20:19,420",1217.04,1219.42,It's already going down like that.,它本身又正在这样往下降。
400,"00:20:19,420","00:20:20,910",1219.42,1220.91,And what about the next piece?,下一段呢？
401,"00:20:20,910","00:20:21,830",1220.91,1221.83,Same thing.,一样的。
402,"00:20:21,830","00:20:22,330",1221.83,1222.33,Next piece?,下一段？
403,"00:20:22,330","00:20:23,200",1222.33,1223.2,Same thing.,一样的。
404,"00:20:23,200","00:20:25,620",1223.2,1225.62,So the only thing that can happen,所以唯一可能发生的就是
405,"00:20:25,620","00:20:28,090",1225.62,1228.09,is that the wheel goes over like that.,轮子会像那样翻过去。
406,"00:20:28,090","00:20:30,370",1228.09,1230.37,"And so now, you'll never wonder again",所以从今往后，你不会再有疑问，
407,"00:20:30,370","00:20:33,000",1230.37,1233.0,"because you're thinking about the problem in the right way,",因为你正在用正确的方式思考问题，
408,"00:20:33,000","00:20:36,000",1233.0,1236.0,and it's demonstrated by the use of a prop.,而这通过道具的使用得到了证明。
409,"00:20:36,000","00:20:38,703",1236.0,1238.703,,
410,"00:20:38,703","00:20:40,120",1238.703,1240.12,You can try this after we're done.,我们结束后你可以试试。
411,"00:20:40,120","00:20:44,690",1240.12,1244.69,,
412,"00:20:44,690","00:20:47,980",1244.69,1247.98,Another example I like to remember,我喜欢的另一个例子
413,"00:20:47,980","00:20:50,880",1247.98,1250.88,is one from when I was taking 8.01.,是我上 8.01 课时的事。
414,"00:20:50,880","00:20:53,960",1250.88,1253.96,"Alan Lazarus was the instructor at the time,",当时的主讲人是艾伦·拉扎勒斯，
415,"00:20:53,960","00:20:57,220",1253.96,1257.22,"and he was talking about the conservation of energy, kinetic",他在讲能量守恒、动能
416,"00:20:57,220","00:20:59,450",1257.22,1259.45,and potential.,和势能。
417,"00:20:59,450","00:21:04,420",1259.45,1264.42,And there was a long wire in a ceiling in 26-100 attached,在 26-100 教室的天花板上有一根长钢丝，
418,"00:21:04,420","00:21:07,800",1264.42,1267.8,"to a much bigger steel ball, but one--",下面挂着一个大得多的钢球，但是——
419,"00:21:07,800","00:21:09,270",1267.8,1269.27,not one like this.,不是这样的。
420,"00:21:09,270","00:21:15,100",1269.27,1275.1,And Lazarus took the ball up against the wall like this.,拉扎勒斯把球拉到墙边，像这样。
421,"00:21:15,100","00:21:19,210",1275.1,1279.21,"He put his head flat against the wall to steady himself,",他把头平贴在墙上稳住自己，
422,"00:21:19,210","00:21:22,390",1279.21,1282.39,"and then he let go, and the pendulum",然后松手，摆锤
423,"00:21:22,390","00:21:25,750",1282.39,1285.75,"takes many seconds to go over and back,",要花好几秒才能荡过去又荡回来，
424,"00:21:25,750","00:21:31,300",1285.75,1291.3,and then gently kisses Lazarus's nose.,然后轻轻擦过拉扎勒斯的鼻子。
425,"00:21:31,300","00:21:33,700",1291.3,1293.7,"And so you have many seconds to think,",所以你有好几秒的时间去思考，
426,"00:21:33,700","00:21:36,550",1293.7,1296.55,this guy really believes in the conservation of energy.,这家伙真的相信能量守恒。
427,"00:21:36,550","00:21:43,270",1296.55,1303.27,,
428,"00:21:43,270","00:21:46,600",1303.27,1306.6,Do not try this at home.,请勿在家尝试。
429,"00:21:46,600","00:21:50,180",1306.6,1310.18,"The problem is that, the first time you do this,",问题在于，第一次做的时候，
430,"00:21:50,180","00:21:51,820",1310.18,1311.82,you may not just let go.,你可能不会直接松手。
431,"00:21:51,820","00:21:54,640",1311.82,1314.64,There's a natural human tendency to push.,人有一种自然的推力倾向。
432,"00:21:54,640","00:22:01,510",1314.64,1321.51,,
433,"00:22:01,510","00:22:04,510",1321.51,1324.51,So that's a little bit on a subject of props.,所以关于道具这个话题就讲这些。
434,"00:22:04,510","00:22:24,612",1324.51,1344.612,,
435,"00:22:24,612","00:22:25,320",1344.612,1345.32,It's interesting.,这很有意思。
436,"00:22:25,320","00:22:29,810",1345.32,1349.81,"Whenever surveys are taken, students always say more chalk,",每次做调查时，学生们总是说要更多粉笔，
437,"00:22:29,810","00:22:31,800",1349.81,1351.8,less PowerPoint.,少用 PowerPoint。
438,"00:22:31,800","00:22:34,230",1351.8,1354.23,And why would that be?,为什么会这样呢？
439,"00:22:34,230","00:22:37,080",1354.23,1357.08,Props are also very effective.,道具也非常有效。
440,"00:22:37,080","00:22:39,420",1357.08,1359.42,Why would that be?,为什么呢？
441,"00:22:39,420","00:22:42,870",1359.42,1362.87,I'll give you my lunatic fringe view on this.,我来给你讲讲我那疯狂的少数派观点。
442,"00:22:42,870","00:23:02,350",1362.87,1382.35,It has to do with what I would call empathetic mirroring.,"这与我所谓的""共情镜像""有关。"
443,"00:23:02,350","00:23:05,020",1382.35,1385.02,"When you're sitting up there watching me write on the board,",当你坐在那里看我在黑板上写字时，
444,"00:23:05,020","00:23:08,950",1385.02,1388.95,"all those little mirror neurons in your head, I believe,",我相信，你脑子里那些小小的镜像神经元
445,"00:23:08,950","00:23:11,560",1388.95,1391.56,"become actuated, and you can feel yourself",会被激活，你能感觉到自己
446,"00:23:11,560","00:23:13,060",1391.56,1393.06,writing on the blackboard.,正在黑板上写字。
447,"00:23:13,060","00:23:18,560",1393.06,1398.56,"And even more so, when I talk about this steel ball going",更明显的是，当我讲到这个钢球这样
448,"00:23:18,560","00:23:22,270",1398.56,1402.27,"that way and this way, you can feel the ball",那样地摆动时，你能感觉到那个球
449,"00:23:22,270","00:23:26,380",1402.27,1406.38,"as if you were me, and you can't do that with a slide.",仿佛你就是我自己，幻灯片做不到这点。
450,"00:23:26,380","00:23:28,190",1406.38,1408.19,You can't do it with a picture.,图片也做不到。
451,"00:23:28,190","00:23:31,820",1408.19,1411.82,You need to see it in the physical world.,你需要在现实世界中亲眼看到它。
452,"00:23:31,820","00:23:34,090",1411.82,1414.09,That's why I think that--,这就是我认为——
453,"00:23:34,090","00:23:35,803",1414.09,1415.803,"oh, yes, of course, it's--",哦，是的，当然，这是——
454,"00:23:35,803","00:23:37,470",1415.803,1417.47,"there are speed questions involved, too,",这里也涉及速度的问题，
455,"00:23:37,470","00:23:39,640",1417.47,1419.64,that have to be separated out.,那需要分开讨论。
456,"00:23:39,640","00:23:41,140",1419.64,1421.14,But I think the empathetic mirroring,但我认为共情镜像
457,"00:23:41,140","00:23:47,890",1421.14,1427.89,is why props and the use of a blackboard are so effective.,正是道具和黑板如此有效的原因。
458,"00:23:47,890","00:23:53,990",1427.89,1433.99,"Well, let's see-- oh, yes, there is one more thing",嗯，让我想想——哦，对了，关于工具还有一件事，
459,"00:23:53,990","00:23:57,100",1433.99,1437.1,"by way of the tools, and that has",那就是和幻灯片的使用有关。
460,"00:23:57,100","00:23:59,500",1437.1,1439.5,to do with the use of slides.,幻灯片的使用。
461,"00:23:59,500","00:24:02,260",1439.5,1442.26,,
462,"00:24:02,260","00:24:05,140",1442.26,1445.14,"I repeat, I think they're for exposing ideas,",我再说一次，我认为幻灯片是用来展示想法的，
463,"00:24:05,140","00:24:08,440",1445.14,1448.44,"not for teaching ideas, but that's what we do in a job talk",不是用来教学的，但在求职报告
464,"00:24:08,440","00:24:11,230",1448.44,1451.23,or conference talk--,或会议报告中我们就是这么做的——
465,"00:24:11,230","00:24:12,130",1451.23,1452.13,expose ideas.,展示想法。
466,"00:24:12,130","00:24:14,090",1452.13,1454.09,We don't teach them.,我们并不讲清楚。
467,"00:24:14,090","00:24:16,840",1454.09,1456.84,So let me tell you a little bit about my views on that.,那我来给你讲讲我对这件事的看法。
468,"00:24:16,840","00:24:20,510",1456.84,1460.51,,
469,"00:24:20,510","00:24:29,060",1460.51,1469.06,"I remember, once, I was in Terminal A at Logan Airport.",我记得有一次，我在洛根机场的 A 航站楼。
470,"00:24:29,060","00:24:33,240",1469.06,1473.24,"I'd just come back from a really miserable conference,",我刚从一个糟糕透顶的会议回来，
471,"00:24:33,240","00:24:35,155",1473.24,1475.155,and the flight was really horrible.,航班也很糟糕。
472,"00:24:35,155","00:24:37,530",1475.155,1477.53,It was one of those that feels like an unbalanced washing,那种感觉就像一台失衡的洗衣
473,"00:24:37,530","00:24:39,095",1477.53,1479.095,machine.,机。
474,"00:24:39,095","00:24:40,470",1479.095,1480.47,"And for the only time in my life,",那是我一生中唯一的一次，
475,"00:24:40,470","00:24:46,620",1480.47,1486.62,I decided to stop on my way to my car and have a cup of coffee,我决定在去停车场的路上停下来喝杯咖啡，
476,"00:24:46,620","00:24:48,560",1486.62,1488.56,and relax a little bit.,放松一下。
477,"00:24:48,560","00:24:51,450",1488.56,1491.45,"And as I was there for a few minutes, someone came up to me",我在那儿待了几分钟，有人走过来
478,"00:24:51,450","00:24:54,690",1491.45,1494.69,"and said, are you Professor Winston?",问我：你是温斯顿教授吗？
479,"00:24:54,690","00:24:57,808",1494.69,1497.808,"I think so, I said.",我想是的，我说。
480,"00:24:57,808","00:24:58,350",1497.808,1498.35,I don't know.,我也不确定。
481,"00:24:58,350","00:25:00,570",1498.35,1500.57,I guess I was trying to be funny.,我猜我当时是想开个玩笑。
482,"00:25:00,570","00:25:02,700",1500.57,1502.7,"In any event, he said, I'm on my way to Europe",不管怎样，他说，我要飞去欧洲
483,"00:25:02,700","00:25:04,320",1502.7,1504.32,to give a job talk.,做一个求职报告。
484,"00:25:04,320","00:25:07,440",1504.32,1507.44,Would you mine critiquing my slides?,你介意给我的幻灯片提提意见吗？
485,"00:25:07,440","00:25:08,610",1507.44,1508.61,"Not at all, I said.",一点也不，我说。
486,"00:25:08,610","00:25:12,750",1508.61,1512.75,"You have too many, and they have too many words.",你做得太多了，而且文字也太多。
487,"00:25:12,750","00:25:15,280",1512.75,1515.28,"How did you know, he said, thinking perhaps I",你怎么知道的，他说，心想也许我
488,"00:25:15,280","00:25:17,790",1515.28,1517.79,had seen a talk of his before.,以前听过他的报告。
489,"00:25:17,790","00:25:19,800",1517.79,1519.8,I hadn't.,我没听过。
490,"00:25:19,800","00:25:22,770",1519.8,1522.77,"My reply was, because it's always true.",我回答说，因为这种情况总是如此。
491,"00:25:22,770","00:25:26,310",1522.77,1526.31,"There are always too many slides, always too many words.",总是幻灯片太多，总是文字太多。
492,"00:25:26,310","00:25:29,725",1526.31,1529.725,So let me show you some extreme examples of how not to use,所以我来给你们看几个不该使用
493,"00:25:29,725","00:25:30,225",1529.725,1530.225,slides.,幻灯片的极端例子。
494,"00:25:30,225","00:25:34,110",1530.225,1534.11,,
495,"00:25:34,110","00:25:42,270",1534.11,1542.27,"Well, for this demonstration, I need to be way over here",为了做这个演示，我需要站到那边去，
496,"00:25:42,270","00:25:48,510",1542.27,1548.51,"and when I get over here, then I can start to say things like,",等我走到那边，就可以开始说这样的话：
497,"00:25:48,510","00:25:51,342",1548.51,1551.342,one of the things you shouldn't do is read your transparencies.,你不应该做的事之一就是照着投影胶片念。
498,"00:25:51,342","00:25:53,050",1551.342,1553.05,"People in your audience know how to read,",你的听众都会阅读，
499,"00:25:53,050","00:25:55,410",1553.05,1555.41,and reading will just annoy them.,照念只会让他们厌烦。
500,"00:25:55,410","00:25:56,940",1555.41,1556.94,"Also, you should be sure that you",此外，你要确保自己
501,"00:25:56,940","00:25:59,700",1556.94,1559.7,"have only a few words on each transparency,","have only a few words on each transparency,"
502,"00:25:59,700","00:26:02,160",1559.7,1562.16,and that the words are easy to read.,and that the words are easy to read.
503,"00:26:02,160","00:26:05,310",1562.16,1565.31,And I hope I'm driving you crazy because I'm,And I hope I'm driving you crazy because I'm
504,"00:26:05,310","00:26:08,550",1565.31,1568.55,"committing all kinds of crimes, the first of which","committing all kinds of crimes, the first of which"
505,"00:26:08,550","00:26:12,540",1568.55,1572.54,is that there are too many words on the slide.,is that there are too many words on the slide.
506,"00:26:12,540","00:26:14,630",1572.54,1574.63,"Second of which is, I'm way over there,","Second of which is, I'm way over there,"
507,"00:26:14,630","00:26:16,560",1574.63,1576.56,and the slide's way over there.,and the slide's way over there.
508,"00:26:16,560","00:26:20,070",1576.56,1580.07,So you get into this tennis match feeling,So you get into this tennis match feeling
509,"00:26:20,070","00:26:23,700",1580.07,1583.7,of shifting back and forth between the slide,of shifting back and forth between the slide
510,"00:26:23,700","00:26:24,600",1583.7,1584.6,and the speaker.,and the speaker.
511,"00:26:24,600","00:26:26,790",1584.6,1586.79,You want the slides to be condiments to what,You want the slides to be condiments to what
512,"00:26:26,790","00:26:29,730",1586.79,1589.73,"you're saying, not the main event or the opposite way","you're saying, not the main event or the opposite way"
513,"00:26:29,730","00:26:31,150",1589.73,1591.15,around.,around.
514,"00:26:31,150","00:26:33,420",1591.15,1593.42,So how can we fix this?,So how can we fix this?
515,"00:26:33,420","00:26:37,860",1593.42,1597.86,Step number one is to get rid of the background junk.,Step number one is to get rid of the background junk.
516,"00:26:37,860","00:26:40,560",1597.86,1600.56,That's always distraction.,That's always distraction.
517,"00:26:40,560","00:26:43,590",1600.56,1603.59,Step number two is to get rid of the words.,Step number two is to get rid of the words.
